дата,регион,город,категория,товар,канал,количество,цена,продажи,прибыль
2025-03-16,Южный,Ростов-на-Дону,Электроника,Наушники,Онлайн,3,5776,18628,7272
2025-03-17,Южный,Ростов-на-Дону,Бытовая техника,Пылесос,Розница,7,14270,107382,32891
2025-03-17,Приволжский,Самара,Бытовая техника,Холодильник,Розница,8,49804,428314,172707
2025-03-17,Центральный,Воронеж,Электроника,Ноутбук,Розница,3,73244,236212,83622
2025-03-18,Уральский,Челябинск,Книги,Учебник,Онлайн,3,1100,3548,1569
2025-03-18,Южный,Сочи,Одежда,Куртка,Розница,5,8403,45166,15161
2025-03-18,Центральный,Тула,Электроника,Ноутбук,Розница,6,78656,507331,132314
2025-03-18,Приволжский,Самара,Электроника,Наушники,Розница,4,5757,24755,4955
2025-03-18,Южный,Краснодар,Электроника,Ноутбук,Розница,2,82300,176945,69144
2025-03-19,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,4,55177,237261,72953
2025-03-19,Приволжский,Самара,Одежда,Кроссовки,Онлайн,5,8179,43962,14129
2025-03-19,Приволжский,Самара,Электроника,Ноутбук,Онлайн,3,81142,261683,109077
2025-03-19,Южный,Сочи,Книги,Учебник,Розница,3,1219,3931,1505
2025-03-19,Уральский,Челябинск,Электроника,Наушники,Розница,2,5883,12648,3321
2025-03-19,Уральский,Челябинск,Одежда,Футболка,Онлайн,1,1611,1732,413
2025-03-20,Южный,Сочи,Книги,Роман,Розница,7,745,5606,1829
2025-03-20,Южный,Краснодар,Бытовая техника,Пылесос,Онлайн,6,15104,97421,25275
2025-03-20,Центральный,Тула,Книги,Роман,Розница,2,760,1634,671
2025-03-20,Центральный,Воронеж,Бытовая техника,Холодильник,Розница,5,48453,260435,56467
2025-03-20,Центральный,Тула,Одежда,Кроссовки,Онлайн,2,7308,15712,3520
2025-03-21,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,2,14570,31326,14088
2025-03-21,Центральный,Москва,Бытовая техника,Пылесос,Онлайн,1,12623,13570,4941
2025-03-22,Приволжский,Самара,Электроника,Смартфон,Онлайн,7,41304,310813,77240
2025-03-22,Южный,Краснодар,Одежда,Куртка,Онлайн,7,9492,71427,18693
2025-03-22,Приволжский,Казань,Электроника,Наушники,Онлайн,3,5928,19118,5150
2025-03-22,Уральский,Челябинск,Бытовая техника,Холодильник,Розница,2,48256,103750,43493
2025-03-22,Южный,Краснодар,Одежда,Куртка,Розница,4,8599,36976,15860
2025-03-23,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,5,14409,77448,19676
2025-03-23,Уральский,Челябинск,Электроника,Смартфон,Онлайн,8,46243,397690,171900
2025-03-24,Южный,Сочи,Книги,Учебник,Розница,6,1211,7811,3178
2025-03-24,Центральный,Москва,Электроника,Смартфон,Розница,5,42442,228126,50041
2025-03-24,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,7,1100,8278,2615
2025-03-24,Южный,Сочи,Одежда,Куртка,Розница,4,9854,42372,17421
2025-03-25,Центральный,Воронеж,Книги,Роман,Онлайн,1,664,714,156
2025-03-25,Уральский,Екатеринбург,Одежда,Футболка,Онлайн,3,1386,4470,1220
2025-03-25,Приволжский,Самара,Одежда,Футболка,Розница,5,1400,7525,3147
2025-03-25,Центральный,Москва,Одежда,Кроссовки,Онлайн,5,7536,40506,15565
2025-03-25,Уральский,Челябинск,Одежда,Куртка,Онлайн,8,9647,82964,33873
2025-03-26,Центральный,Тула,Электроника,Смартфон,Онлайн,1,40896,43963,10299
2025-03-26,Центральный,Воронеж,Одежда,Кроссовки,Онлайн,3,7018,22633,4751
2025-03-26,Уральский,Екатеринбург,Одежда,Куртка,Онлайн,7,9749,73361,27145
2025-03-26,Южный,Сочи,Электроника,Смартфон,Розница,4,47739,205278,42009
2025-03-27,Уральский,Челябинск,Одежда,Кроссовки,Онлайн,2,7580,16297,7301
2025-03-27,Южный,Ростов-на-Дону,Одежда,Футболка,Розница,4,1489,6403,1934
2025-03-28,Приволжский,Казань,Электроника,Ноутбук,Онлайн,1,73835,79373,28844
2025-03-28,Южный,Сочи,Книги,Учебник,Розница,2,1129,2427,496
2025-03-28,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,2,12723,27354,10726
2025-03-29,Уральский,Екатеринбург,Электроника,Наушники,Онлайн,3,6165,19882,6987
2025-03-29,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,5,14983,80534,17596
2025-03-29,Южный,Краснодар,Книги,Учебник,Онлайн,4,1098,4721,1885
2025-03-29,Приволжский,Казань,Бытовая техника,Пылесос,Розница,8,13479,115919,48665
2025-03-30,Уральский,Челябинск,Книги,Учебник,Розница,2,1102,2369,588
2025-03-30,Центральный,Москва,Одежда,Куртка,Розница,2,9380,20167,4193
2025-03-30,Центральный,Тула,Одежда,Кроссовки,Розница,3,6797,21920,7648
2025-03-31,Приволжский,Казань,Книги,Роман,Онлайн,3,647,2087,907
2025-03-31,Приволжский,Казань,Книги,Учебник,Онлайн,2,1220,2623,1011
2025-03-31,Центральный,Москва,Бытовая техника,Пылесос,Розница,3,12858,41467,9877
2025-03-31,Центральный,Москва,Книги,Роман,Розница,3,759,2448,837
2025-03-31,Уральский,Екатеринбург,Книги,Учебник,Розница,3,1165,3757,838
2025-03-31,Южный,Краснодар,Бытовая техника,Холодильник,Розница,4,53532,230188,74875
2025-04-01,Центральный,Воронеж,Книги,Роман,Онлайн,7,658,5067,1160
2025-04-01,Центральный,Воронеж,Одежда,Кроссовки,Розница,8,7266,63941,19731
2025-04-02,Южный,Сочи,Электроника,Ноутбук,Розница,4,70657,310891,76892
2025-04-02,Центральный,Воронеж,Одежда,Футболка,Онлайн,4,1642,7225,3070
2025-04-02,Южный,Ростов-на-Дону,Электроника,Смартфон,Онлайн,7,43693,336436,80810
2025-04-02,Приволжский,Казань,Одежда,Футболка,Розница,6,1624,10718,4748
2025-04-02,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Онлайн,5,13092,72006,31719
2025-04-03,Приволжский,Казань,Книги,Роман,Онлайн,6,759,5009,2002
2025-04-03,Южный,Ростов-на-Дону,Бытовая техника,Пылесос,Онлайн,1,12661,13927,4225
2025-04-03,Центральный,Тула,Одежда,Куртка,Онлайн,6,9368,61829,17588
2025-04-04,Южный,Краснодар,Бытовая техника,Холодильник,Розница,7,55035,423770,88922
2025-04-04,Приволжский,Нижний Новгород,Одежда,Куртка,Розница,3,8781,28977,7722
2025-04-04,Приволжский,Казань,Электроника,Наушники,Онлайн,7,6421,49442,12721
2025-04-04,Приволжский,Нижний Новгород,Одежда,Футболка,Розница,4,1542,6785,2877
2025-04-05,Южный,Ростов-на-Дону,Электроника,Смартфон,Онлайн,6,49341,325651,132875
2025-04-05,Южный,Краснодар,Электроника,Ноутбук,Розница,4,74093,326009,141179
2025-04-05,Центральный,Тула,Электроника,Смартфон,Онлайн,7,44444,342219,118095
2025-04-06,Уральский,Челябинск,Одежда,Футболка,Онлайн,7,1380,10626,3508
2025-04-06,Приволжский,Самара,Электроника,Смартфон,Онлайн,5,40681,223746,86079
2025-04-06,Центральный,Воронеж,Бытовая техника,Пылесос,Онлайн,3,14650,48345,15144
2025-04-06,Южный,Ростов-на-Дону,Книги,Роман,Розница,7,762,5867,2398
2025-04-06,Приволжский,Казань,Электроника,Ноутбук,Розница,4,85401,375764,130646
2025-04-07,Южный,Сочи,Электроника,Смартфон,Онлайн,7,45646,351474,84367
2025-04-07,Центральный,Воронеж,Электроника,Ноутбук,Розница,2,74795,164549,46813
2025-04-07,Приволжский,Казань,Электроника,Смартфон,Розница,3,46244,152605,31396
2025-04-07,Центральный,Воронеж,Книги,Учебник,Розница,8,1295,11396,4373
2025-04-08,Южный,Краснодар,Одежда,Куртка,Розница,8,8180,71984,24479
2025-04-08,Приволжский,Самара,Электроника,Смартфон,Розница,2,41271,90796,33054
2025-04-08,Приволжский,Нижний Новгород,Электроника,Ноутбук,Розница,7,85264,656533,182669
2025-04-09,Приволжский,Самара,Одежда,Куртка,Онлайн,7,9725,74882,20325
2025-04-09,Центральный,Воронеж,Бытовая техника,Холодильник,Розница,4,55208,242915,101649
2025-04-09,Центральный,Тула,Книги,Роман,Онлайн,3,747,2465,950
2025-04-09,Центральный,Воронеж,Книги,Учебник,Онлайн,5,1205,6628,1463
2025-04-09,Уральский,Екатеринбург,Книги,Роман,Онлайн,3,709,2340,712
2025-04-09,Центральный,Тула,Электроника,Ноутбук,Розница,6,83895,553707,212605
2025-04-10,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,7,13003,100123,29820
2025-04-10,Центральный,Воронеж,Одежда,Футболка,Розница,4,1365,6006,1989
2025-04-10,Южный,Сочи,Одежда,Кроссовки,Онлайн,5,7171,39440,12901
2025-04-10,Приволжский,Казань,Одежда,Футболка,Розница,8,1582,13922,5148
2025-04-10,Центральный,Москва,Книги,Роман,Розница,7,734,5652,1470
2025-04-10,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,5,54180,297990,104044
2025-04-11,Приволжский,Казань,Электроника,Смартфон,Онлайн,1,44608,49069,10819
2025-04-11,Южный,Краснодар,Книги,Учебник,Розница,2,1243,2735,1065
2025-04-11,Уральский,Екатеринбург,Книги,Учебник,Онлайн,6,1119,7385,1672
2025-04-12,Центральный,Воронеж,Электроника,Смартфон,Онлайн,4,48214,212142,61130
2025-04-12,Южный,Ростов-на-Дону,Книги,Роман,Онлайн,1,696,766,319
2025-04-12,Центральный,Москва,Одежда,Футболка,Розница,5,1564,8602,2345
2025-04-12,Уральский,Челябинск,Одежда,Кроссовки,Розница,5,7077,38924,14576
2025-04-13,Центральный,Москва,Одежда,Футболка,Онлайн,5,1440,7920,3350
2025-04-13,Южный,Краснодар,Одежда,Кроссовки,Розница,5,7734,42537,9016
2025-04-13,Приволжский,Казань,Бытовая техника,Холодильник,Онлайн,7,53670,413259,115634
2025-04-13,Уральский,Челябинск,Одежда,Кроссовки,Онлайн,7,7332,56456,24907
2025-04-13,Южный,Ростов-на-Дону,Бытовая техника,Пылесос,Онлайн,6,14020,92532,22082
2025-04-13,Южный,Сочи,Книги,Роман,Онлайн,5,732,4026,1249
2025-04-14,Центральный,Москва,Одежда,Куртка,Розница,5,8857,48714,11121
2025-04-14,Южный,Ростов-на-Дону,Одежда,Кроссовки,Онлайн,2,7456,16403,3828
2025-04-14,Уральский,Екатеринбург,Электроника,Наушники,Онлайн,7,6036,46477,16115
2025-04-14,Приволжский,Казань,Одежда,Кроссовки,Онлайн,8,6965,61292,14367
2025-04-15,Уральский,Челябинск,Бытовая техника,Пылесос,Онлайн,1,12613,13874,5295
2025-04-15,Приволжский,Самара,Электроника,Смартфон,Розница,7,46201,355748,124210
2025-04-16,Центральный,Москва,Бытовая техника,Пылесос,Онлайн,1,15098,16608,4331
2025-04-16,Центральный,Тула,Электроника,Наушники,Розница,4,5672,24957,5759
2025-04-16,Приволжский,Казань,Книги,Учебник,Розница,3,1096,3617,1586
2025-04-16,Уральский,Челябинск,Книги,Роман,Онлайн,6,769,5075,1662
2025-04-16,Приволжский,Самара,Электроника,Смартфон,Онлайн,4,47045,206998,86359
2025-04-17,Приволжский,Казань,Одежда,Футболка,Онлайн,1,1463,1609,466
2025-04-17,Центральный,Тула,Электроника,Наушники,Розница,1,5458,6004,2528
2025-04-17,Уральский,Екатеринбург,Одежда,Кроссовки,Онлайн,3,7058,23291,6488
2025-04-17,Южный,Краснодар,Электроника,Наушники,Розница,5,6147,33808,9291
2025-04-17,Центральный,Тула,Электроника,Ноутбук,Онлайн,2,82442,181372,59048
2025-04-17,Южный,Ростов-на-Дону,Бытовая техника,Пылесос,Розница,7,13427,103388,45506
2025-04-18,Уральский,Челябинск,Бытовая техника,Холодильник,Розница,1,53785,59164,13210
2025-04-18,Приволжский,Казань,Электроника,Наушники,Розница,2,6486,14269,4123
2025-04-18,Южный,Краснодар,Книги,Роман,Розница,2,744,1637,379
2025-04-19,Южный,Краснодар,Электроника,Смартфон,Онлайн,1,40587,44646,18546
2025-04-19,Южный,Краснодар,Книги,Учебник,Онлайн,2,1169,2572,937
2025-04-19,Уральский,Челябинск,Книги,Учебник,Розница,7,1246,9594,3170
2025-04-19,Приволжский,Казань,Бытовая техника,Холодильник,Розница,3,47879,158001,35107
2025-04-20,Уральский,Екатеринбург,Книги,Учебник,Онлайн,1,1287,1416,326
2025-04-20,Уральский,Челябинск,Электроника,Ноутбук,Розница,8,70917,624070,240015
2025-04-20,Центральный,Тула,Бытовая техника,Пылесос,Розница,2,13812,30386,8154
2025-04-20,Южный,Ростов-на-Дону,Книги,Роман,Розница,1,632,695,150
2025-04-20,Уральский,Екатеринбург,Электроника,Ноутбук,Онлайн,6,73958,488123,101268
2025-04-20,Приволжский,Нижний Новгород,Книги,Учебник,Розница,4,1099,4836,1639
2025-04-21,Уральский,Челябинск,Одежда,Куртка,Розница,8,9441,83081,37017
2025-04-21,Уральский,Екатеринбург,Электроника,Смартфон,Розница,5,48511,266810,82556
2025-04-22,Южный,Сочи,Бытовая техника,Пылесос,Розница,6,14168,93509,27591
2025-04-22,Южный,Ростов-на-Дону,Книги,Роман,Розница,2,736,1619,639
2025-04-22,Южный,Ростов-на-Дону,Одежда,Футболка,Онлайн,6,1561,10303,4518
2025-04-22,Уральский,Екатеринбург,Книги,Роман,Розница,5,716,3938,1587
2025-04-23,Уральский,Екатеринбург,Одежда,Куртка,Онлайн,7,8184,63017,18381
2025-04-23,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,1,14085,15494,6784
2025-04-23,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,2,50829,111824,33532
2025-04-24,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,7,15298,117795,24428
2025-04-24,Приволжский,Казань,Книги,Учебник,Онлайн,6,1251,8257,1785
2025-04-24,Приволжский,Казань,Одежда,Футболка,Онлайн,6,1626,10732,4473
2025-04-24,Южный,Ростов-на-Дону,Электроника,Ноутбук,Розница,8,79292,697770,149554
2025-04-24,Южный,Краснодар,Электроника,Наушники,Онлайн,2,5430,11946,4942
2025-04-24,Приволжский,Самара,Бытовая техника,Пылесос,Розница,5,13010,71555,31090
2025-04-25,Центральный,Воронеж,Книги,Роман,Онлайн,4,734,3230,1000
2025-04-25,Южный,Ростов-на-Дону,Электроника,Ноутбук,Розница,7,76698,590575,149399
2025-04-25,Центральный,Москва,Одежда,Куртка,Розница,8,9594,84427,18754
2025-04-26,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Онлайн,8,13097,115254,32195
2025-04-26,Приволжский,Нижний Новгород,Электроника,Ноутбук,Онлайн,1,76885,84574,26290
2025-04-26,Приволжский,Нижний Новгород,Одежда,Куртка,Онлайн,6,8939,58997,12721
2025-04-26,Приволжский,Самара,Электроника,Наушники,Розница,5,5989,32940,10107
2025-04-26,Центральный,Тула,Одежда,Футболка,Онлайн,4,1637,7203,2304
2025-04-26,Уральский,Челябинск,Электроника,Ноутбук,Розница,4,83981,369516,105004
2025-04-27,Южный,Сочи,Книги,Роман,Онлайн,2,724,1593,539
2025-04-27,Центральный,Тула,Одежда,Кроссовки,Розница,2,7329,16124,5078
2025-04-27,Центральный,Тула,Одежда,Футболка,Онлайн,8,1496,13165,4949
2025-04-27,Южный,Ростов-на-Дону,Электроника,Смартфон,Онлайн,3,49245,162508,41711
2025-04-28,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Розница,2,13176,28987,7038
2025-04-28,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,8,54255,477444,210328
2025-04-29,Приволжский,Самара,Электроника,Наушники,Розница,4,6493,28569,9945
2025-04-29,Уральский,Челябинск,Одежда,Куртка,Онлайн,7,9312,71702,22679
2025-04-30,Центральный,Тула,Электроника,Ноутбук,Онлайн,2,74721,164386,45786
2025-04-30,Южный,Краснодар,Книги,Учебник,Онлайн,1,1194,1313,416
2025-04-30,Уральский,Челябинск,Бытовая техника,Пылесос,Онлайн,6,15281,100855,45104
2025-04-30,Центральный,Москва,Электроника,Наушники,Розница,7,6045,46547,9926
2025-04-30,Приволжский,Нижний Новгород,Одежда,Куртка,Онлайн,7,9730,74921,17766
2025-04-30,Приволжский,Казань,Бытовая техника,Пылесос,Онлайн,4,12921,56852,16047
2025-05-01,Уральский,Екатеринбург,Одежда,Футболка,Розница,2,1425,3206,1284
2025-05-01,Южный,Краснодар,Бытовая техника,Холодильник,Онлайн,2,49765,111971,48433
2025-05-01,Южный,Краснодар,Книги,Учебник,Розница,5,1246,7009,2887
2025-05-01,Южный,Краснодар,Бытовая техника,Холодильник,Розница,6,49360,333180,131479
2025-05-01,Южный,Краснодар,Бытовая техника,Пылесос,Розница,8,13896,125064,45062
2025-05-01,Уральский,Екатеринбург,Бытовая техника,Холодильник,Онлайн,5,55731,313487,130097
2025-05-02,Центральный,Тула,Электроника,Смартфон,Онлайн,1,47814,53791,16421
2025-05-02,Центральный,Тула,Одежда,Футболка,Розница,8,1546,13914,5744
2025-05-02,Приволжский,Нижний Новгород,Одежда,Куртка,Розница,8,9002,81018,34624
2025-05-02,Центральный,Тула,Бытовая техника,Холодильник,Онлайн,3,51441,173613,70350
2025-05-03,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,4,12776,57492,20562
2025-05-03,Приволжский,Нижний Новгород,Одежда,Кроссовки,Онлайн,8,8127,73143,16795
2025-05-03,Южный,Сочи,Одежда,Футболка,Розница,5,1524,8572,2636
2025-05-03,Уральский,Челябинск,Электроника,Наушники,Розница,5,5852,32918,7347
2025-05-03,Южный,Краснодар,Книги,Учебник,Онлайн,1,1200,1350,561
2025-05-04,Центральный,Тула,Одежда,Куртка,Онлайн,3,8436,28472,10234
2025-05-04,Приволжский,Самара,Одежда,Футболка,Онлайн,2,1494,3362,1110
2025-05-04,Приволжский,Нижний Новгород,Книги,Роман,Онлайн,4,636,2862,878
2025-05-05,Центральный,Тула,Бытовая техника,Холодильник,Розница,3,49486,167015,67640
2025-05-05,Центральный,Тула,Одежда,Куртка,Розница,4,8909,40090,8090
2025-05-05,Приволжский,Казань,Книги,Роман,Онлайн,3,717,2420,780
2025-05-06,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,7,12970,102139,45540
2025-05-06,Приволжский,Нижний Новгород,Электроника,Смартфон,Онлайн,8,48614,437526,131278
2025-05-06,Центральный,Воронеж,Бытовая техника,Холодильник,Онлайн,7,52229,411303,147002
2025-05-06,Уральский,Екатеринбург,Книги,Учебник,Онлайн,6,1221,8242,2181
2025-05-07,Приволжский,Самара,Книги,Роман,Розница,2,670,1508,348
2025-05-07,Южный,Сочи,Электроника,Наушники,Онлайн,1,6094,6856,2883
2025-05-07,Уральский,Екатеринбург,Одежда,Кроссовки,Розница,6,6910,46642,16021
2025-05-07,Южный,Ростов-на-Дону,Книги,Учебник,Онлайн,5,1318,7414,2600
2025-05-07,Уральский,Челябинск,Бытовая техника,Пылесос,Розница,8,13311,119799,44725
2025-05-08,Приволжский,Нижний Новгород,Электроника,Наушники,Онлайн,4,5936,26712,7350
2025-05-08,Центральный,Москва,Книги,Учебник,Онлайн,1,1119,1259,263
2025-05-08,Центральный,Москва,Книги,Учебник,Онлайн,2,1095,2464,972
2025-05-08,Центральный,Тула,Книги,Учебник,Онлайн,5,1251,7037,2116
2025-05-08,Уральский,Челябинск,Электроника,Смартфон,Онлайн,5,42253,237673,60371
2025-05-09,Приволжский,Нижний Новгород,Электроника,Ноутбук,Онлайн,4,80418,361881,74580
2025-05-09,Южный,Краснодар,Одежда,Футболка,Онлайн,7,1472,11592,4636
2025-05-09,Центральный,Москва,Одежда,Футболка,Онлайн,6,1454,9814,2415
2025-05-09,Приволжский,Самара,Книги,Роман,Онлайн,5,655,3684,1192
2025-05-09,Южный,Краснодар,Электроника,Наушники,Розница,5,6451,36287,8952
2025-05-09,Уральский,Челябинск,Книги,Роман,Розница,6,765,5164,1731
2025-05-10,Центральный,Воронеж,Электроника,Ноутбук,Онлайн,2,76170,171382,43332
2025-05-10,Приволжский,Самара,Книги,Учебник,Розница,1,1248,1404,539
2025-05-10,Центральный,Воронеж,Одежда,Куртка,Розница,3,8958,30233,10933
2025-05-10,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Розница,4,13258,59661,23237
2025-05-10,Приволжский,Казань,Бытовая техника,Холодильник,Онлайн,6,48422,326848,138364
2025-05-10,Уральский,Екатеринбург,Электроника,Ноутбук,Розница,6,79882,539204,176274
2025-05-11,Приволжский,Нижний Новгород,Одежда,Кроссовки,Розница,4,7875,35438,14811
2025-05-11,Уральский,Екатеринбург,Одежда,Кроссовки,Розница,3,7436,25096,10538
2025-05-11,Южный,Ростов-на-Дону,Электроника,Смартфон,Розница,4,43915,197618,83951
2025-05-11,Южный,Сочи,Одежда,Куртка,Розница,5,8948,50332,14935
2025-05-11,Приволжский,Самара,Книги,Роман,Розница,7,728,5733,2046
2025-05-12,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,2,54296,122166,30417
2025-05-12,Уральский,Екатеринбург,Бытовая техника,Холодильник,Розница,8,55179,496611,201549
2025-05-12,Приволжский,Нижний Новгород,Одежда,Кроссовки,Онлайн,5,7126,40084,9435
2025-05-12,Уральский,Екатеринбург,Бытовая техника,Холодильник,Онлайн,4,55264,248688,82282
2025-05-13,Южный,Краснодар,Одежда,Кроссовки,Розница,5,7266,40871,14185
2025-05-13,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Розница,6,13510,91192,29399
2025-05-13,Центральный,Воронеж,Одежда,Кроссовки,Розница,3,8052,27176,7877
2025-05-13,Уральский,Челябинск,Электроника,Смартфон,Розница,3,43593,147126,54676
2025-05-13,Южный,Ростов-на-Дону,Книги,Учебник,Розница,8,1267,11403,2455
2025-05-14,Приволжский,Казань,Электроника,Смартфон,Онлайн,4,46458,209061,44925
2025-05-14,Приволжский,Казань,Книги,Роман,Онлайн,2,639,1438,331
2025-05-14,Центральный,Воронеж,Электроника,Смартфон,Розница,5,46063,259104,111135
2025-05-14,Южный,Сочи,Бытовая техника,Пылесос,Онлайн,8,14354,129186,53894
2025-05-14,Центральный,Москва,Одежда,Кроссовки,Розница,8,7451,67059,15576
2025-05-15,Уральский,Екатеринбург,Бытовая техника,Пылесос,Розница,7,14066,110770,32136
2025-05-15,Южный,Краснодар,Бытовая техника,Холодильник,Онлайн,8,50002,450018,156133
2025-05-15,Южный,Сочи,Электроника,Наушники,Онлайн,3,5813,19619,6527
2025-05-15,Уральский,Челябинск,Одежда,Куртка,Онлайн,7,9536,75096,22585
2025-05-15,Южный,Сочи,Книги,Учебник,Розница,7,1140,8978,2435
2025-05-15,Уральский,Екатеринбург,Одежда,Куртка,Розница,7,9226,72655,23311
2025-05-16,Южный,Краснодар,Бытовая техника,Холодильник,Розница,3,48221,162746,68746
2025-05-16,Уральский,Челябинск,Книги,Роман,Онлайн,6,633,4273,1870
2025-05-16,Приволжский,Казань,Одежда,Кроссовки,Онлайн,3,7823,26403,7082
2025-05-16,Центральный,Москва,Электроника,Ноутбук,Розница,4,75534,339903,126480
2025-05-17,Уральский,Екатеринбург,Одежда,Куртка,Онлайн,3,8201,27678,7088
2025-05-17,Уральский,Екатеринбург,Бытовая техника,Пылесос,Онлайн,7,14919,117487,49287
2025-05-17,Уральский,Челябинск,Бытовая техника,Холодильник,Онлайн,4,51593,232168,59725
2025-05-17,Уральский,Челябинск,Одежда,Кроссовки,Онлайн,3,7694,25967,11411
2025-05-18,Уральский,Челябинск,Бытовая техника,Пылесос,Онлайн,1,15018,16895,6683
2025-05-18,Приволжский,Нижний Новгород,Книги,Учебник,Онлайн,1,1120,1260,480
2025-05-18,Уральский,Екатеринбург,Электроника,Смартфон,Онлайн,8,46696,420264,172834
2025-05-18,Приволжский,Казань,Книги,Роман,Онлайн,6,760,5130,1030
2025-05-19,Южный,Ростов-на-Дону,Бытовая техника,Холодильник,Розница,3,51874,175075,64920
2025-05-19,Уральский,Екатеринбург,Электроника,Наушники,Онлайн,7,5830,45911,19114
2025-05-20,Уральский,Челябинск,Книги,Роман,Розница,3,706,2383,880
2025-05-20,Южный,Ростов-на-Дону,Бытовая техника,Холодильник,Розница,3,51474,173725,42588
2025-05-20,Уральский,Екатеринбург,Книги,Роман,Онлайн,1,717,807,290
2025-05-20,Южный,Ростов-на-Дону,Электроника,Наушники,Онлайн,7,5628,44320,12374
2025-05-20,Южный,Краснодар,Книги,Учебник,Онлайн,2,1103,2482,708
2025-05-21,Приволжский,Казань,Бытовая техника,Холодильник,Розница,8,48793,439137,194119
2025-05-21,Уральский,Челябинск,Электроника,Ноутбук,Онлайн,4,79653,358438,154946
2025-05-21,Уральский,Екатеринбург,Книги,Роман,Розница,6,708,4779,1030
2025-05-22,Центральный,Тула,Одежда,Футболка,Онлайн,1,1570,1766,426
2025-05-22,Приволжский,Нижний Новгород,Электроника,Смартфон,Онлайн,4,45285,203782,82050
2025-05-22,Приволжский,Нижний Новгород,Книги,Роман,Розница,6,724,4887,1341
2025-05-22,Центральный,Москва,Бытовая техника,Пылесос,Розница,6,14441,97477,30854
2025-05-23,Южный,Ростов-на-Дону,Одежда,Кроссовки,Розница,7,7896,62181,21288
2025-05-23,Приволжский,Нижний Новгород,Бытовая техника,Пылесос,Розница,5,13608,76545,25788
2025-05-23,Центральный,Тула,Электроника,Ноутбук,Розница,1,78275,88059,17757
2025-05-23,Центральный,Воронеж,Бытовая техника,Холодильник,Розница,6,47026,317426,77615
2025-05-24,Приволжский,Казань,Электроника,Ноутбук,Онлайн,6,72635,490286,188149
2025-05-24,Приволжский,Самара,Одежда,Куртка,Онлайн,7,9124,71852,28428
2025-05-24,Южный,Краснодар,Бытовая техника,Пылесос,Розница,2,14267,32101,12035
2025-05-24,Центральный,Москва,Одежда,Кроссовки,Онлайн,7,7375,58078,13535
2025-05-24,Центральный,Тула,Книги,Роман,Онлайн,5,703,3954,1464
2025-05-24,Южный,Ростов-на-Дону,Бытовая техника,Холодильник,Розница,1,53806,60532,12146
2025-05-25,Центральный,Москва,Книги,Учебник,Розница,7,1116,8788,3216
2025-05-25,Центральный,Тула,Книги,Учебник,Онлайн,2,1176,2646,903
2025-05-25,Приволжский,Самара,Бытовая техника,Пылесос,Онлайн,7,14426,113605,45553
2025-05-25,Приволжский,Казань,Одежда,Кроссовки,Онлайн,6,7777,52495,16063
2025-05-25,Уральский,Челябинск,Одежда,Кроссовки,Онлайн,4,7231,32540,9812
2025-05-25,Южный,Сочи,Одежда,Футболка,Онлайн,8,1537,13833,4702
2025-05-26,Южный,Сочи,Электроника,Смартфон,Онлайн,1,42687,48023,14155
2025-05-26,Южный,Сочи,Одежда,Футболка,Розница,2,1442,3244,1078
2025-05-26,Приволжский,Нижний Новгород,Бытовая техника,Холодильник,Онлайн,5,52508,295358,86906
2025-05-27,Уральский,Екатеринбург,Одежда,Куртка,Розница,1,8611,9687,2448
2025-05-27,Центральный,Воронеж,Электроника,Смартфон,Розница,7,46443,365739,103963
2025-05-28,Центральный,Воронеж,Книги,Роман,Розница,7,701,5520,1505
2025-05-28,Уральский,Екатеринбург,Бытовая техника,Холодильник,Онлайн,8,52631,473679,128785
2025-05-29,Южный,Краснодар,Книги,Учебник,Розница,3,1084,3658,1020
2025-05-29,Южный,Сочи,Одежда,Куртка,Онлайн,5,9682,54461,12384
2025-05-29,Южный,Сочи,Бытовая техника,Пылесос,Розница,7,14439,113707,48672
2025-05-30,Приволжский,Самара,Бытовая техника,Холодильник,Розница,7,56894,448040,99719
2025-05-30,Уральский,Екатеринбург,Бытовая техника,Холодильник,Онлайн,4,55771,250970,93549
2025-05-30,Уральский,Екатеринбург,Бытовая техника,Пылесос,Онлайн,2,14161,31862,6782
2025-05-30,Приволжский,Самара,Бытовая техника,Холодильник,Розница,6,55953,377683,130863
